algorithm	topk	visited	nb_entities	nb_individuals	nb_attr_entities	nb_attr_individuals	sigma_entities	sigma_individuals	sigma_quality	nb_dims_agg	Outcomes_covered	nb_patterns	timespent
debunk	50	4500912.0	50000	50000	3	3	40	10	0.6	0	106330.77	233.0	1948.2791571617126
dsc	50	3568555.0	50000	50000	3	3	40	10	0.6	0	15873.0	50.0	2615.87766289711
debunk	100	31890.0	50000	50000	1	1	40	10	0.2	0	644801.77	670.0	154.56104803085327
dsc	100	30077.0	50000	50000	1	1	40	10	0.2	0	57632.0	100.0	122.66759514808655
debunk	100	426976.0	50000	50000	2	1	40	10	0.2	0	692056.21	3192.0	292.2131459712982
dsc	100	315332.0	50000	50000	2	1	40	10	0.2	0	30542.0	100.0	249.46999597549438
debunk	100	790335.0	50000	50000	3	1	40	10	0.2	0	710171.39	4214.0	462.5711929798126
dsc	100	619912.0	50000	50000	3	1	40	10	0.2	0	43400.0	100.0	378.52538084983826
debunk	100	196666.0	50000	50000	1	2	40	10	0.2	0	806739.59	1738.0	250.31385898590088
dsc	100	119283.0	50000	50000	1	2	40	10	0.2	0	37430.0	100.0	613.2696869373322
debunk	100	2712370.0	50000	50000	2	2	40	10	0.2	0	804389.79	8406.0	1446.9808359146118
dsc	100	1065964.0	50000	50000	2	2	40	10	0.2	0	36792.0	100.0	1043.7909469604492
debunk	100	4925411.0	50000	50000	3	2	40	10	0.2	0	828575.28	11531.0	3330.76846408844
dsc	100	2051770.0	50000	50000	3	2	40	10	0.2	0	48508.0	100.0	1497.8882851600647
debunk	100	407660.0	50000	50000	1	3	40	10	0.2	0	700020.5	2578.0	355.49337887763977
dsc	100	222784.0	50000	50000	1	3	40	10	0.2	0	29091.0	100.0	1038.9642279148102
debunk	100	5611195.0	50000	50000	2	3	40	10	0.2	0	712549.77	12199.0	2957.35973405838
dsc	100	1903370.0	50000	50000	2	3	40	10	0.2	0	21864.0	100.0	1862.1456429958344
debunk	100	10185030.0	50000	50000	3	3	40	10	0.2	0	744938.53	17100.0	6789.340767860413
dsc	100	3833891.0	50000	50000	3	3	40	10	0.2	0	21864.0	100.0	2510.909607887268
debunk	100	29572.0	50000	50000	1	1	40	10	0.4	0	232144.41	234.0	70.47799801826477
dsc	100	29331.0	50000	50000	1	1	40	10	0.4	0	57632.0	100.0	115.51702690124512
debunk	100	358638.0	50000	50000	2	1	40	10	0.4	0	277558.79	994.0	178.3479561805725
dsc	100	312641.0	50000	50000	2	1	40	10	0.4	0	30542.0	100.0	231.11560487747192
debunk	100	691347.0	50000	50000	3	1	40	10	0.4	0	309363.25	1337.0	307.8277349472046
dsc	100	617979.0	50000	50000	3	1	40	10	0.4	0	43400.0	100.0	353.4193630218506
debunk	100	163494.0	50000	50000	1	2	40	10	0.4	0	315917.7	542.0	146.7926480770111
dsc	100	118219.0	50000	50000	1	2	40	10	0.4	0	37430.0	100.0	563.9857439994812
debunk	100	2148688.0	50000	50000	2	2	40	10	0.4	0	372682.07	2247.0	779.4794199466705
dsc	100	1062939.0	50000	50000	2	2	40	10	0.4	0	36792.0	100.0	983.3310449123383
debunk	100	4011609.0	50000	50000	3	2	40	10	0.4	0	423436.73	3121.0	1533.4424250125885
dsc	100	2049499.0	50000	50000	3	2	40	10	0.4	0	48508.0	100.0	1373.049936056137
debunk	100	320641.0	50000	50000	1	3	40	10	0.4	0	285642.73	701.0	214.494863986969
dsc	100	221011.0	50000	50000	1	3	40	10	0.4	0	29091.0	100.0	962.932746887207
debunk	100	4196942.0	50000	50000	2	3	40	10	0.4	0	347041.97	2925.0	1450.3992519378662
dsc	100	1900114.0	50000	50000	2	3	40	10	0.4	0	21864.0	100.0	1739.7158889770508
debunk	100	7820355.0	50000	50000	3	3	40	10	0.4	0	398738.12	4127.0	2925.3769750595093
dsc	100	3831476.0	50000	50000	3	3	40	10	0.4	0	21864.0	100.0	2502.9384050369263
debunk	100	7820355.0	50000	50000	1	1	40	10	0.6	0	398738.12	4127.0	33.09857201576233
dsc	100	26182.0	50000	50000	1	1	40	10	0.6	0	15485.0	24.0	112.8051438331604
debunk	100	7820355.0	50000	50000	2	1	40	10	0.6	0	398738.12	4127.0	125.66138219833374
dsc	100	282066.0	50000	50000	2	1	40	10	0.6	0	30542.0	100.0	222.5116879940033
debunk	100	7820355.0	50000	50000	3	1	40	10	0.6	0	398738.12	4127.0	233.11049604415894
dsc	100	579809.0	50000	50000	3	1	40	10	0.6	0	43400.0	100.0	341.8618321418762
debunk	100	7820355.0	50000	50000	1	2	40	10	0.6	0	398738.12	4127.0	80.2445421218872
dsc	100	102963.0	50000	50000	1	2	40	10	0.6	0	35651.0	88.0	562.0359239578247
debunk	100	1136011.0	50000	50000	2	2	40	10	0.6	0	115931.45	128.0	482.2344310283661
dsc	100	975848.0	50000	50000	2	2	40	10	0.6	0	36792.0	100.0	944.6513960361481
debunk	100	2328027.0	50000	50000	3	2	40	10	0.6	0	147048.42	177.0	934.7501249313354
dsc	100	1948227.0	50000	50000	3	2	40	10	0.6	0	48508.0	100.0	1342.8314321041107
debunk	100	2328027.0	50000	50000	1	3	40	10	0.6	0	147048.42	177.0	133.82002687454224
dsc	100	201558.0	50000	50000	1	3	40	10	0.6	0	29091.0	100.0	966.2744328975677
debunk	100	2197999.0	50000	50000	2	3	40	10	0.6	0	105236.37	175.0	894.1088409423828
dsc	100	1801404.0	50000	50000	2	3	40	10	0.6	0	21864.0	100.0	1714.3837611675262
debunk	100	4500912.0	50000	50000	3	3	40	10	0.6	0	138810.37	233.0	1752.7691481113434
dsc	100	3732308.0	50000	50000	3	3	40	10	0.6	0	21864.0	100.0	2457.047388076782
